id,名称,别名(释名),气味,主治,附方,生长,考释
142,马先蒿,马矢蒿,味苦平,主治寒热鬼注，中风湿痹，女子带下病，无子,,川泽,
143,蜀羊泉,,味苦微寒,主治头秃恶疮，热气疥瘙痂癣虫，疗龋齿,,川谷,
144,积雪草,,味苦寒，,主治大热，恶疮痈疽，浸淫赤熛，皮肤赤，身热,,川谷,
145,垣衣,昔邪/乌韭/垣嬴/天韭/鼠韭,味酸无毒,主治黄疸，心烦咳逆，血气，暴热在肠胃，金创内寒。久服补中益气，长肌，好颜色,,古垣墙阴或屋上,
146,水萍,水华,味辛寒,主治暴热身痒，下水气，胜酒，长须发，止消渴。久服轻身,,池泽,
147,海藻,落首,味苦寒,主治癭瘤气，颈下核，破散结气，痈肿，癥瘕坚气，腹中上下鸣，下十二水肿,,池泽,
148,桔梗,,味苦无毒,主治胸胁痛如刀刺，腹满肠鸣幽幽，惊恐悸气,,山谷,
149,旋覆花,金沸草/盛湛,味咸温,主治结气，胁下满，惊悸，除水，去五脏间寒热。补中下气,,川谷,
150,蛇全,蛇衔,味苦微寒,主治惊痫寒热邪气，除热，金创，疽痔鼠瘘，恶疮头疡,,山谷,
151,假苏,鼠蓂,味辛温,主治寒热鼠瘘瘰疬生疮，破结聚气，下瘀血，除湿痹,,川泽,
152,营实,墙薇/墙麻/牛棘,味酸温,主治痈疽恶疮，结肉跌筋，败疮热气，阴蚀不瘳，利关节,,山谷,
153,牡丹,鹿韭/鼠姑,味辛寒,主治寒热中风，瘈疭痉，惊痫邪气，除癥坚，瘀血，留舍肠胃，安五脏，疗痈疮,,山谷,
154,石韦,石樜,味苦平,主治劳热邪气，五癃闭不通，利小便水道,,山谷石上,
155,百合,,味甘平,主治邪气腹胀心痛，利大小便。补中益气,,川谷,
156,紫参,牡蒙,味苦寒,主治心腹积聚，寒热邪气，通九窍，利大小便,,山谷,
157,王瓜,土瓜,味苦寒,主治消渴内痹，瘀血月闭，寒热酸疼，益气愈聋,,平泽,
158,大黄,,味苦寒有毒,主下瘀血，血闭，寒热，破癥瘕积聚，留饮宿食，荡涤肠胃，推陈致新，通利水谷，调中化食，安和五脏,,山谷,
159,甘遂,主田,味苦寒有毒,主治大腹疝瘕，腹满，面目浮肿，留饮宿食，破癥坚积聚，利水谷道,,川谷,
160,亭历,大室/大适,味辛寒,主治癥瘕积聚结气，饮食寒热，破坚逐邪，通利水道,,平泽及田野,
161,芫华,去水,味苦温有毒,主治欬逆上气，喉鸣喘，咽肿气短，蛊毒鬼疟，疝瘕痈肿，杀虫鱼,,川谷,
162,泽漆,,味苦微寒,主治皮肤热，大腹水气，四肢面目浮肿，丈夫阴气不足,,川泽,
163,荛华,,味苦寒,主治伤寒温疟，下十二水，破积聚大坚癥瘕，荡涤肠胃中留癖饮食，寒热邪气，利水道,,川谷,
164,钩吻,治葛,味辛温,主治金疮乳，中恶风，咳逆上气，水肿，杀鬼注蛊毒,,山谷,
165,藜芦,黄苒,味辛寒有毒,主治蛊毒，咳逆，泄痢肠澼，头疡疥瘙恶疮，杀诸虫毒，去死肌,,山谷,
166,乌头,奚毒/即子/乌喙,味辛温有毒,主治中风恶风洗洗，出汗，除寒湿痹，咳逆上气，破积聚寒热。其汁煎之，名射罔，杀禽兽,,山谷,
167,天雄,白幕,味辛温,主治大风，寒湿痹，历节痛，拘挛缓急，破积聚，邪气，金创，强筋骨，轻身健行,,山谷,
168,附子,,味辛温有毒,主治风寒咳逆邪气，温中，金创，破癥堅积聚，血瘕寒湿，踒躄拘挛，膝痛不能行走,,山谷,
169,羊踯躅,,味辛温有毒,主治贼风在皮肤中淫淫痛，温疟，恶毒，诸痹,,川谷,
